Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
92,10.16,1.5,Darrell WESH,21-Feb-92,USA,5,"Greensboro, NC (USA)",17-May-15,1152
92,10.16,1.7,Tremayne ACY,21-Jan-95,USA,4sf1,"Eugene, OR (USA)",10-Jun-15,1152
92,10.16,1.1,Rondel SORRILLO,21-Jan-86,TTO,3f2,Port-of-Spain (TTO),27-Jun-15,1152
92,10.16,1.5,Justyn WARNER,28-Jun-87,CAN,3,Edmonton (CAN),3-Jul-15,1152
92,10.16,0.8,Aziz OUHADI,24-Jul-84,MAR,4h1,La Chaux-de-Fonds (SUI),5-Jul-15,1152
92,10.16,1.8,Kukyoung KIM,19-Apr-91,KOR,2sf1,"Main Stadium, Gwangju (KOR)",9-Jul-15,1152
92,10.16,1.4,Yazaldes NASCIMENTO,17-Apr-86,POR,6,"Moratalaz, Madrid (ESP)",11-Jul-15,1152
92,10.16,1.6,Harry AIKINES-ARYEETEY,29-Aug-88,GBR,1f1,Loughborough (GBR),18-Jul-15,1152
92,10.16,1.6,Sean SAFO-ANTWI,31-Oct-90,GBR,2f1,Loughborough (GBR),18-Jul-15,1152
1,9.77,0.6,Justin GATLIN,10-Feb-82,USA,1,"Boudewijnstadion, Bruxelles (BEL)",5-Sep-14,1287
2,9.82,1.7,Richard THOMPSON,7-Jun-85,TTO,1f2,Port-of-Spain (TTO),21-Jun-14,1269
3,9.87,1.6,Asafa POWELL,23-Nov-82,JAM,1f4,"Austin, TX (USA)",23-Aug-14,1252
4,9.91,1,Michael RODGERS,24-Apr-85,USA,1f1,London (GBR),20-Jul-14,1238
5,9.93,1.8,Kemarley BROWN,20-Jul-92,JAM,1,"Walnut, CA (USA)",17-May-14,1231
5,9.93,0.1,Tyson GAY,9-Aug-82,USA,2f,"Stade Olympique de la Pontaise, Lausanne (SUI)",3-Jul-14,1231
5,9.93,0.4,Femi OGUNODE,15-May-91,QAT,1,Incheon (KOR),28-Sep-14,1231
8,9.95,1.7,Jimmy VICAUT,27-Feb-92,FRA,1f1,Aix-les-Bains (FRA),18-May-14,1224
9,9.96,1.4,Chijindu UJAH,5-Mar-94,GBR,2,"Blankers-Koen Stadion, Hengelo (NED)",8-Jun-14,1220
9,9.96,1,Kim COLLINS,5-Apr-76,SKN,2f1,London (GBR),20-Jul-14,1220
9,9.96,2,Nesta CARTER,11-Oct-85,JAM,1,"Olympiastadion, Stockholm (SWE)",21-Aug-14,1220
9,9.96,-0.3,Kemar BAILEY-COLE,10-Jan-92,JAM,1f1,"Letzigrund, Zürich (SUI)",28-Aug-14,1221
13,9.97,1.8,Trayvon BROMELL,10-Jul-95,USA,1,"Eugene, OR (USA)",13-Jun-14,1217
13,9.97,0.3,Nickel ASHMEADE,7-Apr-90,JAM,1f1,"Hampden Park, Glasgow (GBR)",11-Jul-14,1217
15,9.98,1.4,Simon MAGAKWE,14-May-86,RSA,1,Pretoria (RSA),12-Apr-14,1213
15,9.98,-0.6,Usain BOLT,21-Aug-86,JAM,1,"Stadion PGE Narodowy, Warszawa (POL)",23-Aug-14,1216
17,10,1.7,Keston BLEDMAN,8-Mar-88,TTO,2f2,Port-of-Spain (TTO),21-Jun-14,1206
17,10,1.6,Trentavis FRIDAY,5-Jun-95,USA,1h1,"Eugene, OR (USA)",5-Jul-14,1206
17,10,0.6,James DASAOLU,5-Sep-87,GBR,5,"Boudewijnstadion, Bruxelles (BEL)",5-Sep-14,1206
