"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"wrsh","white-rumped shama","m",139,25.4,89,10.7,11.4,31
"rwbu","red-whiskered bulbul","u",84,19.3,87,9.2,10.5,26
"rwbu","red-whiskered bulbul","u",89,20.8,82,9,10.5,25
"rble","red-billed leiothrix","u",56,24,68,7.3,9.9,20
"rble","red-billed leiothrix","m",54,24.1,68,7.6,10,21.5
"rble","red-billed leiothrix","u",52,23.8,69,7.7,10.4,22
"rble","red-billed leiothrix","u",53,23.3,65,8,11.3,21.5
"rble","red-billed leiothrix","u",53,24.1,67,6.2,10.4,22
"rble","red-billed leiothrix","u",61,24.2,71,8.4,11.5,23
"rble","red-billed leiothrix","u",53,23.6,68,7.7,10.9,21
"rble","red-billed leiothrix","u",55,23.8,68,6.6,9.7,21
"rble","red-billed leiothrix","u",58,24,67,8,10.7,20.5
"rble","red-billed leiothrix","u",54,23.3,69,8.1,10.9,23
"rble","red-billed leiothrix","u",55,24.3,62,7.2,9,21
"rble","red-billed leiothrix","u",55,23.1,60,9.1,8.7,19
"rwbu","red-whiskered bulbul","u",71,20,77,9,11.8,24
"rwbu","red-whiskered bulbul","u",77,20.5,79,9.1,12.3,27
"jawe","Japanese white-eye","u",41,17.3,59,7.8,9.5,10.5
"jawe","Japanese white-eye","u",44,16.7,61,7.7,8.9,11
"rwbu","red-whiskered bulbul","u",80,19.9,81,9,12.6,25
"rwbu","red-whiskered bulbul","u",81,22.6,86,9.6,12.3,31
"rble","red-billed leiothrix","u",54,23.2,69,7.7,10.2,22
"wrsh","white-rumped shama","m",150,26.2,93,11.1,13,30.5
"rble","red-billed leiothrix","u",61,22.1,65,7.6,9,19
"rble","red-billed leiothrix","u",52,23.6,65,7.4,10.5,20
"rble","red-billed leiothrix","u",61,23.1,65,7.4,9.5,20
"rwbu","red-whiskered bulbul","u",78,18.8,76,8.9,11.4,22
"rwbu","red-whiskered bulbul","u",80,20,80,9.7,12.4,27
"jawe","Japanese white-eye","u",43,17.4,57,8.7,6.4,10
"jawe","Japanese white-eye","u",44,17.4,60,7.2,9.1,10.5
"wrsh","white-rumped shama","m",121,26.4,89,10.4,11.1,38
"rble","red-billed leiothrix","u",54,24.5,69,8,9.4,24
"rble","red-billed leiothrix","u",NA,24.3,69,7.2,8.9,23
"rble","red-billed leiothrix","u",56,25.5,70,7.9,10.8,26
"jawe","Japanese white-eye","u",41,16.9,59,7.9,9.6,11.5
"jawe","Japanese white-eye","u",41,14.5,59,7.9,8.2,11
"wrsh","white-rumped shama","m",NA,26.1,95,12.5,12,25
"wrsh","white-rumped shama","m",134,26.5,89,12.2,13,29
"rble","red-billed leiothrix","u",56,22.9,68,7.8,8.4,21
"rble","red-billed leiothrix","u",59,24.1,70,8.1,11.4,21
"rble","red-billed leiothrix","u",55,23.6,66,6.8,8.9,19
"rble","red-billed leiothrix","u",60,23.8,69,7.8,10.8,25
"rble","red-billed leiothrix","u",54,23.8,69,7.5,8.4,21
"rble","red-billed leiothrix","u",54,23.8,62,7.6,10,21
"rwbu","red-whiskered bulbul","u",78,19.5,82,9,11.1,27
"rwbu","red-whiskered bulbul","u",85,21.5,85,8.5,13,29
"rble","red-billed leiothrix","u",52,23.1,68,8.8,10.6,21
"rble","red-billed leiothrix","u",56,22,65,7.6,8.3,19
"rwbu","red-whiskered bulbul","u",79,19.2,79,8.3,11.1,25
