genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Quercus alba,Fagaceae,angio,Tree,42.34,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Quercus coccinea,Fagaceae,angio,Shrub,160.05,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Quercus palustris,Fagaceae,angio,Tree,74.77,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Quercus michauxii,Fagaceae,angio,Tree,58.08,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Rhododendron maximum,Ericaceae,angio,Tree,25.71,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Sassafras albidum,Lauraceae,angio,Tree,93.46,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Sorbus americana,Rosaceae,angio,Shrub,11.95,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Vaccinium corymbosum,Ericaceae,angio,Shrub,2.65,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Vitis aestivalis_cf,Vitaceae,angio,Liana,134.5,40.630,-75.980,426,10.80,1160.00,775.00,183.05
Acer negundo,Sapindaceae,angio,Tree,25.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Acer rubrum,Sapindaceae,angio,Tree,76.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Acer saccharinum,Sapindaceae,angio,Tree,45.3,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Alnus serrulata,Betulaceae,angio,Tree,30,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Amelanchier laevis,Rosaceae,angio,Tree,9.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Amorpha fruticosa,Fabaceae,angio,Tree,3,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Aronia arbutifolia,Rosaceae,angio,Tree,14.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Asimina triloba,Annonaceae,angio,Tree,68.1,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Betula lenta,Betulaceae,angio,Tree,53.1,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Betula nigra,Betulaceae,angio,Tree,21.3,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya cordiformis,Juglandaceae,angio,Tree,11.6,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya glabra,Juglandaceae,angio,Tree,35,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya laciniosa,Juglandaceae,angio,Tree,23.4,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya glabra var. odorata,Juglandaceae,angio,Tree,15.7,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya ovata,Juglandaceae,angio,Tree,12.3,39.920,-76.750,119,11.90,1030.00,802.00,188.77
Carya alba,Juglandaceae,angio,Tree,38.8,39.920,-76.750,119,11.90,1030.00,802.00,188.77
