Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
9,11.03,1,Kerron STEWART,16-Apr-84,JAM,2,Kingston (JAM),23-Jun-07,1193
10,11.04,-0.3,Tezdzhan NAIMOVA,1-May-87,BUL,1,Plovdiv (BUL),1-Jul-07,1192
10,11.04,-0.1,Christine ARRON,13-Sep-73,FRA,2sf2,"Nagai Stadium, Osaka (JPN)",27-Aug-07,1191
12,11.05,1,Sheri-Ann BROOKS,11-Feb-83,JAM,3,Kingston (JAM),23-Jun-07,1189
12,11.05,-0.2,Kim GEVAERT,5-Aug-78,BEL,5,"Nagai Stadium, Osaka (JPN)",27-Aug-07,1190
14,11.06,2,Marshevet HOOKER,25-Sep-84,USA,5,"Carson, CA (USA)",20-May-07,1187
14,11.06,1.4,Angela WILLIAMS,30-Jan-80,USA,1,"Clermont, FL (USA)",9-Jun-07,1187
16,11.09,0.8,Stephanie DURST,6-Jan-82,USA,1h3,"Indianapolis, IN (USA)",21-Jun-07,1180
16,11.09,1.1,Yevgeniya POLYAKOVA,29-May-83,RUS,1,Tula (RUS),31-Jul-07,1180
18,11.1,1.5,Brianna GLENN,18-Apr-80,USA,1h2,"Indianapolis, IN (USA)",21-Jun-07,1178
18,11.1,0.6,Muna LEE,30-Oct-81,USA,2h4,"Indianapolis, IN (USA)",21-Jun-07,1178
20,11.12,1.3,Nicole WHITMAN,9-Nov-80,USA,1,"Orlando, FL (USA)",3-Mar-07,1174
20,11.12,0.9,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,1,Luzern (SUI),28-Jun-07,1174
22,11.13,1.3,Ebonie FLOYD,21-Oct-83,USA,1sf2,"Sacramento, CA (USA)",6-Jun-07,1172
22,11.13,0.8,Mechelle LEWIS,20-Sep-80,USA,4h3,"Indianapolis, IN (USA)",21-Jun-07,1172
22,11.13,0.8,Rachelle BOONE-SMITH,30-Jun-81,USA,5h3,"Indianapolis, IN (USA)",21-Jun-07,1172
22,11.13,1.3,Susanthika JAYASINGHE,17-Dec-75,SRI,3h1,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1172
26,11.14,1.7,Sally PEARSON,19-Sep-86,AUS,1h3,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1169
27,11.15,0.8,Oludamola OSAYOMI,26-Jun-86,NGR,2h8,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1167
27,11.15,0.6,Chandra STURRUP,12-Sep-71,BAH,1qf4,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1167
29,11.16,2,Sani ROSEBY,5-Feb-82,USA,6,"Carson, CA (USA)",20-May-07,1165
29,11.16,1,Simone FACEY,7-May-85,JAM,4,Kingston (JAM),23-Jun-07,1165
31,11.17,2,Aleen BAILEY,25-Nov-80,JAM,7,"Carson, CA (USA)",20-May-07,1163
31,11.17,1.8,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,1,Donnas (ITA),15-Jul-07,1163
33,11.18,0.9,Sherry FLETCHER,17-Jan-86,GRN,1h4,Rio de Janeiro (BRA),23-Jul-07,1161
34,11.19,1.5,Gloria ASUMNU,22-May-85,USA,3h2,"Indianapolis, IN (USA)",21-Jun-07,1159
34,11.19,1.3,Laura TURNER,12-Aug-82,GBR,1,Loughborough (GBR),11-Aug-07,1159
36,11.2,0.2,Lucimar Aparecida DE MOURA,22-Mar-74,BRA,1,São Paulo (BRA),7-Jun-07,1157
36,11.2,2,Guzel KHUBBIEVA,2-May-76,UZB,1,Almaty (KAZ),10-Jun-07,1157
38,11.21,0.6,Tiffany TOWNSEND,14-Jun-89,USA,1,"Austin, TX (USA)",12-May-07,1154
38,11.21,-1.2,Alexandria ANDERSON,28-Jan-87,USA,2,"Lincoln, NE (USA)",13-May-07,1161
38,11.21,1.7,Samantha HENRY-ROBINSON,25-Sep-88,JAM,1,Kingston (JAM),23-Jun-07,1154
38,11.21,0.3,Sina SCHIELKE,19-May-81,GER,1,München (GER),23-Jun-07,1154
42,11.22,1.3,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1,"Baton Rouge, LA (USA)",24-Mar-07,1152
42,11.22,0.9,Francisca IDOKO,15-Jun-85,NGR,3f1,"Olympic Stadium, Athina (GRE)",2-Jul-07,1152
42,11.22,0.8,Vida ANIM,7-Dec-83,GHA,3h8,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1152
45,11.24,1.7,Chauntae BAYNE,4-Apr-84,USA,3sf1,"Sacramento, CA (USA)",6-Jun-07,1148
45,11.24,0.9,Cydonie MOTHERSILL,19-Mar-78,CAY,4f1,"Olympic Stadium, Athina (GRE)",2-Jul-07,1148
45,11.24,,Marina KISLOVA,12-Dec-78,RUS,1,St. Petersburg (RUS),3-Jul-07,1148
45,11.24,0.8,Lynne LAYNE,1-Apr-88,USA,1,São Paulo (BRA),6-Jul-07,1148
49,11.25,2,Angela DAIGLE-BOWEN,28-May-76,USA,8,"Carson, CA (USA)",20-May-07,1146
49,11.25,1.2,Yekaterina LESHCHOVA-GRIGORYEVA,21-Apr-74,RUS,2,Sochi (RUS),26-May-07,1146
49,11.25,1.3,Tracy-Ann ROWE,17-Sep-85,JAM,4sf2,"Sacramento, CA (USA)",6-Jun-07,1146
52,11.26,0.9,LaShauntea MOORE,31-Jul-83,USA,3,"Walnut, CA (USA)",15-Apr-07,1144
52,11.26,0,Ivet LALOVA-COLLIO,18-May-84,BUL,1,Beograd (SRB),29-May-07,1144
52,11.26,-1.1,Timicka CLARKE,9-Nov-80,BAH,1,"Atlanta, GA (USA)",2-Jun-07,1150
52,11.26,0.8,Wyllesheia MYRICK,21-Nov-79,USA,6h3,"Indianapolis, IN (USA)",21-Jun-07,1144
52,11.26,0.8,Jeanette KWAKYE,20-Mar-83,GBR,4h8,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1144
57,11.27,1.7,Rakia AL GASSRA,6-Sep-82,BRN,1h2,Amman (JOR),19-May-07,1142
57,11.27,1.9,Jeneba TARMOH,27-Sep-89,USA,1,"Sacramento, CA (USA)",2-Jun-07,1142
57,11.27,1.2,Johanna MANNINEN,4-Apr-80,FIN,1,Vaasa (FIN),23-Jun-07,1142
57,11.27,0.6,Nombuli MKENKU,30-Jan-89,RSA,2,Algiers (ALG),19-Jul-07,1142
57,11.27,1.7,Affoué Amandine ALLOU,29-Aug-80,CIV,4h3,"Nagai Stadium, Osaka (JPN)",26-Aug-07,1142
62,11.28,,Bianca KNIGHT,2-Jan-89,USA,1,"Pearl, MS (USA)",5-May-07,1139
62,11.28,1.2,Inna EFTIMOVA,19-Jun-88,BUL,1,Sofia (BUL),10-Jun-07,1139
62,11.28,0.8,Montell DOUGLAS,24-Jan-86,GBR,1sf1,Debrecen (HUN),12-Jul-07,1139
65,11.29,0.9,Tonette DYER,28-Mar-82,USA,4,"Walnut, CA (USA)",15-Apr-07,1137
65,11.29,1.3,Virgil HODGE,17-Nov-83,SKN,4,"Des Moines, IA (USA)",26-May-07,1137
67,11.3,0.8,Shataya HENDRICKS,15-Aug-89,USA,1,"Jacksonville, FL (USA)",17-Mar-07,1135
67,11.3,1.2,Yelena BOLSUN,25-Jun-82,RUS,3,Sochi (RUS),26-May-07,1135
67,11.3,0.9,Barbara PIERRE,28-Apr-87,HAI,1,"Charlotte, NC (USA)",26-May-07,1135
67,11.3,,Crystal ATTENBOROUGH,1-Aug-83,AUS,1,Darwin (AUS),23-Jul-07,1135
71,11.31,0.9,Jessica ONYEPUNUKA,3-May-86,USA,5,"Walnut, CA (USA)",15-Apr-07,1133
71,11.31,1,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,5,Kingston (JAM),23-Jun-07,1133
71,11.31,1.5,Sasha SPRINGER-JONES,17-Mar-78,TTO,1,Port-of-Spain (TTO),23-Jun-07,1133
71,11.31,0.3,Muriel HURTIS,25-Mar-79,FRA,5,Paris (FRA),6-Jul-07,1133
71,11.31,1.8,Verena SAILER,16-Oct-85,GER,1h4,Debrecen (HUN),12-Jul-07,1133
76,11.32,-0.3,Irina SHTANHYEYEVA,8-Feb-82,UKR,1,Kalamata (GRE),2-Jun-07,1132
76,11.32,1.7,Carol RODRÍGUEZ,16-Dec-85,PUR,9sf1,"Sacramento, CA (USA)",6-Jun-07,1131
76,11.32,0.7,LaVerne JONES-FERRETTE,16-Sep-81,ISV,1f2,Oslo (NOR),15-Jun-07,1131
76,11.32,1.2,Joice MADUAKA,30-Sep-73,GBR,2,Vaasa (FIN),23-Jun-07,1131
76,11.32,1.1,Natalya RUSAKOVA,12-Dec-79,RUS,3,Tula (RUS),31-Jul-07,1131
81,11.33,0,Shalonda SOLOMON,19-Dec-85,USA,1,"Greensboro, NC (USA)",21-Apr-07,1129
81,11.33,0.6,Nickeisha ANDERSON,15-Mar-85,JAM,4,"Modesto, CA (USA)",5-May-07,1129
81,11.33,2,Alexis WEATHERSPOON,27-Jul-83,USA,9,"Carson, CA (USA)",20-May-07,1129
84,11.34,-0.7,Michelle PERRY,1-May-79,USA,1,Melbourne (AUS),2-Mar-07,1131
84,11.34,1.3,Juanita BROADDUS,12-May-85,USA,2,"Baton Rouge, LA (USA)",24-Mar-07,1127
84,11.34,1.3,Shakera REECE,31-Aug-88,BAR,1,Providenciales (TKS),7-Apr-07,1127
84,11.34,0,Shericka WILLIAMS,17-Sep-85,JAM,3,Beograd (SRB),29-May-07,1127
84,11.34,2,Murielle AHOURÉ,23-Aug-87,CIV,12h3,"Sacramento, CA (USA)",6-Jun-07,1127
84,11.34,1,Peta-Gaye DOWDIE,18-Jan-77,JAM,7,Kingston (JAM),23-Jun-07,1127
90,11.35,2,Emma ANIA,7-Feb-79,GBR,3,"Coral Gables, FL (USA)",14-Apr-07,1125
90,11.35,1.5,Virgen BENAVIDES,31-Dec-74,CUB,1,Caracas (VEN),10-May-07,1125
90,11.35,0.7,Geraldine PILLAY,25-Aug-77,RSA,3f2,Oslo (NOR),15-Jun-07,1125
90,11.35,1,Schillonie CALVERT-POWELL,27-Jul-88,JAM,8,Kingston (JAM),23-Jun-07,1125
90,11.35,1.2,Roxana DÍAZ,17-May-81,CUB,1,Alcalá de Henáres (ESP),7-Jul-07,1125
90,11.35,-0.6,Katerina THANOU,1-Feb-75,GRE,5,Thessaloniki (GRE),30-Jul-07,1128
96,11.36,-1.9,Yuliya GUSHCHINA,4-Mar-83,RUS,h,Tula (RUS),18-Jun-07,1134
96,11.36,1.1,Natalya SAFRONNIKOVA,28-Feb-73,BLR,3,"Olympiastadion, München (GER)",23-Jun-07,1123
96,11.36,1.2,Susanna KALLUR,16-Feb-81,SWE,3,Vaasa (FIN),23-Jun-07,1123
96,11.36,1.2,Victoria JORDAN,26-Feb-90,USA,1,"Walnut, CA (USA)",29-Jul-07,1123
96,11.36,1.8,Sylviane FELIX,31-Oct-77,FRA,1h1,Niort (FRA),3-Aug-07,1123
1,10.82,-0.7,Sherone SIMPSON,12-Aug-84,JAM,1,Kingston (JAM),24-Jun-06,1243
2,10.99,1,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,"Carson, CA (USA)",21-May-06,1202
3,11.03,1.4,Kerron STEWART,16-Apr-84,JAM,1,"Fayetteville, AR (USA)",14-May-06,1193
3,11.03,1.1,Me'Lisa BARBER,4-Oct-80,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11-Jul-06,1193
3,11.03,1.5,LaTasha JENKINS,19-Dec-77,USA,1,Heusden-Zolder (BEL),22-Jul-06,1193
6,11.04,1.1,Allyson FELIX,18-Nov-85,USA,1,"Lawrence, KS (USA)",22-Apr-06,1191
6,11.04,2,Kim GEVAERT,5-Aug-78,BEL,1,Bruxelles (BEL),9-Jul-06,1191
8,11.06,0.1,Torri EDWARDS,31-Jan-77,USA,1,"International Stadium, Gateshead (GBR)",11-Jun-06,1187
9,11.08,1.4,Kelly-Ann BAPTISTE,14-Oct-86,TTO,2,"Fayetteville, AR (USA)",14-May-06,1182
9,11.08,1,Cydonie MOTHERSILL,19-Mar-78,CAY,1,Salamanca (ESP),5-Jul-06,1182
11,11.09,1.4,Shalonda SOLOMON,19-Dec-85,USA,3,"Fayetteville, AR (USA)",14-May-06,1180
11,11.09,1.4,Marshevet HOOKER,25-Sep-84,USA,1,"Waco, TX (USA)",14-May-06,1180
11,11.09,1.5,Lauryn WILLIAMS,11-Sep-83,USA,2,Heusden-Zolder (BEL),22-Jul-06,1180
14,11.1,1.8,Virginia CRAWFORD,7-Sep-83,USA,1,"Eugene, OR (USA)",14-May-06,1178
14,11.1,1.8,Cleo TYSON,1-May-86,USA,1h,"Knoxville, TN (USA)",26-May-06,1178
16,11.12,1.2,Alexandria ANDERSON,28-Jan-87,USA,1,"Indianapolis, IN (USA)",22-Jun-06,1174
17,11.13,1.6,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,1,"El Paso, TX (USA)",15-Apr-06,1172
17,11.13,1.1,Muna LEE,30-Oct-81,USA,2,"Lawrence, KS (USA)",22-Apr-06,1172
17,11.13,2,Stephanie DURST,6-Jan-82,USA,1,Doha (QAT),12-May-06,1172
17,11.13,1.7,Yuliya GUSHCHINA,4-Mar-83,RUS,1,"Meteor, Zhukovskiy (RUS)",24-Jun-06,1172
21,11.14,1.4,Debbie FERGUSON-MCKENZIE,16-Jan-76,BAH,1,Ostrava (CZE),30-May-06,1169
22,11.15,2,Chauntae BAYNE,4-Apr-84,USA,1h2,"Provo, UT (USA)",27-May-06,1167
23,11.16,1.2,Gabrielle MAYO,26-Jan-89,USA,2,"Indianapolis, IN (USA)",22-Jun-06,1165
24,11.18,1,Irina KHABAROVA,18-Mar-66,RUS,1,Tula (RUS),15-Jul-06,1161
24,11.18,1,Natalya RUSAKOVA,12-Dec-79,RUS,2,Tula (RUS),15-Jul-06,1161
26,11.19,0.2,Sheri-Ann BROOKS,11-Feb-83,JAM,1,Melbourne (AUS),20-Mar-06,1159
26,11.19,,Olena CHEBANU,4-Jan-81,UKR,1,Kiev (UKR),16-Jun-06,1159
28,11.2,1.1,Rachelle BOONE-SMITH,30-Jun-81,USA,3,"Lawrence, KS (USA)",22-Apr-06,1157
28,11.2,1,Larisa KRUGLOVA,27-Oct-72,RUS,3,Tula (RUS),15-Jul-06,1157
30,11.21,0.7,Schillonie CALVERT-POWELL,27-Jul-88,JAM,2h1,Kingston (JAM),24-Jun-06,1154
30,11.21,0.1,Vida ANIM,7-Dec-83,GHA,3,"Olympic Stadium, Athina (GRE)",16-Sep-06,1154
32,11.22,1.8,Yekaterina LESHCHOVA-GRIGORYEVA,21-Apr-74,RUS,2,"Ullevi Stadium, Göteborg (SWE)",9-Aug-06,1152
33,11.23,1,Tezdzhan NAIMOVA,1-May-87,BUL,1,Sofia (BUL),10-Jun-06,1150
33,11.23,1.2,Joice MADUAKA,30-Sep-73,GBR,1,Manchester (GBR),15-Jul-06,1150
35,11.24,1.4,Wyllesheia MYRICK,21-Nov-79,USA,1,"Coral Gables, FL (USA)",15-Apr-06,1148
35,11.24,2,Janice DAVIS,27-Oct-84,USA,2h2,"Provo, UT (USA)",27-May-06,1148
35,11.24,,Yelena NEVMERZHITSKAYA,27-Jul-80,BLR,1,Minsk (BLR),9-Jun-06,1148
35,11.24,1.2,Jeneba TARMOH,27-Sep-89,USA,3,"Indianapolis, IN (USA)",22-Jun-06,1148
35,11.24,-0.2,Lolo JONES,5-Aug-82,USA,5,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10-Sep-06,1149
40,11.26,1.2,Bianca KNIGHT,2-Jan-89,USA,4,"Indianapolis, IN (USA)",22-Jun-06,1144
40,11.26,1,Véronique MANG,15-Dec-84,FRA,1h3,Nancy (FRA),20-Jul-06,1144
40,11.26,1,Sylviane FELIX,31-Oct-77,FRA,1h4,"Ullevi Stadium, Göteborg (SWE)",8-Aug-06,1144
43,11.27,1,Aleen BAILEY,25-Nov-80,JAM,5,"Carson, CA (USA)",21-May-06,1142
43,11.27,0,Melinda SMEDLEY,11-Feb-81,USA,1,"Los Angeles, CA (USA)",4-Jun-06,1142
43,11.27,-0.9,Mikele BARBER,4-Oct-80,USA,5,"Indianapolis, IN (USA)",23-Jun-06,1147
43,11.27,0.7,Nyoka COLE,7-Oct-85,JAM,1h2,Kingston (JAM),24-Jun-06,1142
43,11.27,1.1,Brianna GLENN,18-Apr-80,USA,1,Paris (FRA),26-Aug-06,1142
43,11.27,0.2,Guzel KHUBBIEVA,2-May-76,UZB,1,Doha (QAT),9-Dec-06,1142
49,11.28,0.4,Amberly NESBITT,19-Aug-86,USA,1h1,"Greensboro, NC (USA)",26-May-06,1139
49,11.28,0.1,Yuliya NESTERENKO,15-Jun-79,BLR,3sf2,"Ullevi Stadium, Göteborg (SWE)",9-Aug-06,1139
51,11.29,0.5,Ebonie FLOYD,21-Oct-83,USA,1,"Houston, TX (USA)",6-May-06,1137
51,11.29,1.8,Simone FACEY,7-May-85,JAM,1,"Coffeyville, KS (USA)",20-May-06,1137
51,11.29,1,Georgia KOKLONI,7-May-81,GRE,3h4,"Ullevi Stadium, Göteborg (SWE)",8-Aug-06,1137
54,11.3,,Francine SIMPSON,1-Nov-89,JAM,1,Kirkvine (JAM),22-Feb-06,1135
54,11.3,1.4,Consuella MOORE,29-Aug-81,USA,1,"Knoxville, TN (USA)",15-Apr-06,1135
54,11.3,1.4,Brooklynn MORRIS,27-Mar-86,USA,6,"Fayetteville, AR (USA)",14-May-06,1135
54,11.3,1.3,Nolle GRAHAM,12-Sep-81,JAM,1,"Walnut, CA (USA)",16-Jul-06,1135
54,11.3,1.6,LaVerne JONES-FERRETTE,16-Sep-81,ISV,1h2,Cartagena de Indias (COL),25-Jul-06,1135
54,11.3,0,Susanna KALLUR,16-Feb-81,SWE,1,Malmö (SWE),22-Aug-06,1135
60,11.31,0.2,Geraldine PILLAY,25-Aug-77,RSA,2,Melbourne (AUS),20-Mar-06,1133
60,11.31,1.6,Rosemar Maria COELHO NETO,2-Jan-77,BRA,1,São Paulo (BRA),8-Apr-06,1133
60,11.31,1.2,Oludamola OSAYOMI,26-Jun-86,NGR,1h2,"El Paso, TX (USA)",12-May-06,1133
60,11.31,1.4,LaTasha COLANDER,23-Aug-76,USA,4,"Eugene, OR (USA)",28-May-06,1133
60,11.31,0.6,Anyika ONUORA,28-Oct-84,GBR,1sf2,Manchester (GBR),15-Jul-06,1133
65,11.32,0,Mercy NKU,17-Jul-76,NGR,1sf2,Abuja (NGR),11-Feb-06,1131
65,11.32,1.9,Carol RODRÍGUEZ,16-Dec-85,PUR,2h3,"Sacramento, CA (USA)",8-Jun-06,1131
65,11.32,1,Emma ANIA,7-Feb-79,GBR,2,Salamanca (ESP),5-Jul-06,1131
68,11.33,0.2,Gloria KEMASUODE,30-Dec-79,NGR,1,Abuja (NGR),11-Feb-06,1129
68,11.33,2,Virgil HODGE,17-Nov-83,SKN,1,"Arlington, TX (USA)",1-Apr-06,1129
68,11.33,0.9,Antonette CARTER,16-Feb-84,USA,2,"Berkeley, CA (USA)",22-Apr-06,1129
68,11.33,1.2,Elizabeth OLEAR,16-Nov-88,USA,5,"Indianapolis, IN (USA)",22-Jun-06,1129
68,11.33,,Susanthika JAYASINGHE,17-Dec-75,SRI,1,Colombo (SRI),26-Aug-06,1129
68,11.33,1.1,Christine ARRON,13-Sep-73,FRA,2,Paris (FRA),26-Aug-06,1129
74,11.34,0.1,Léonie Myriam MANI,21-May-77,CMR,2,Abuja (NGR),6-May-06,1127
74,11.34,0.4,Evelyne-Cynthia NIAKO,25-Sep-83,CIV,2h1,"Greensboro, NC (USA)",26-May-06,1127
74,11.34,-1.1,Rakia AL GASSRA,6-Sep-82,BRN,1,Praha (CZE),29-Jun-06,1133
74,11.34,1.8,Merlene OTTEY,10-May-60,SLO,1,Glasgow (GBR),12-Aug-06,1127
78,11.35,1.6,Delphine Bertille ATANGANA,16-Aug-84,CMR,1h3,Melbourne (AUS),19-Mar-06,1125
78,11.35,1.1,LaKadron IVERY,23-Jun-83,USA,4,"Lawrence, KS (USA)",22-Apr-06,1125
78,11.35,1.7,Mariya BOLIKOVA,23-May-77,RUS,5,"Meteor, Zhukovskiy (RUS)",24-Jun-06,1125
81,11.36,1.4,Sally PEARSON,19-Sep-86,AUS,2sf1,Melbourne (AUS),20-Mar-06,1123
81,11.36,1.7,Marina KISLOVA,12-Dec-78,RUS,6,"Meteor, Zhukovskiy (RUS)",24-Jun-06,1123
81,11.36,1.6,Kenyanna WILSON,27-Oct-88,USA,1,"Baltimore, MD (USA)",30-Jul-06,1123
81,11.36,0.6,Carrie RUSSELL,18-Oct-90,JAM,2h1,"Chaoyang Sport Center, Beijing (CHN)",15-Aug-06,1123
85,11.37,1.3,Adriane LAPSLEY,18-Dec-83,USA,1,"Atlanta, GA (USA)",1-Apr-06,1120
85,11.37,1.5,Nickeisha ANDERSON,15-Mar-85,JAM,1,"Lawrence, KS (USA)",22-Apr-06,1120
85,11.37,0.1,Endurance OJOKOLO,29-Sep-75,NGR,3,Abuja (NGR),6-May-06,1120
85,11.37,1.4,Shareese WOODS,20-Feb-85,USA,1h2,"Greensboro, NC (USA)",26-May-06,1120
85,11.37,,Irina SHEPETYUK,13-Feb-82,UKR,2,Kiev (UKR),16-Jun-06,1120
85,11.37,1.4,Katja TENGEL,27-Sep-81,GER,1h1,Regensburg (GER),17-Jun-06,1120
85,11.37,1.4,Natalia POHREBNIAK,19-Feb-88,UKR,1h3,Kiev (UKR),21-Jul-06,1120
92,11.38,-0.3,Laura TURNER,12-Aug-82,GBR,2sf2,Melbourne (AUS),20-Mar-06,1119
92,11.38,,Victoria JORDAN,26-Feb-90,USA,1,Texas (USA),13-Apr-06,1118
92,11.38,-0.1,Gladys NWUABANI,31-Dec-88,NGR,h4,Oghara (NGR),16-Jul-06,1118
95,11.39,-2.5,Virgen BENAVIDES,31-Dec-74,CUB,1sf1,La Habana (CUB),23-Mar-06,1131
95,11.39,2,Jessica ONYEPUNUKA,3-May-86,USA,3h2,"Provo, UT (USA)",27-May-06,1116
95,11.39,1.4,Yekaterina KONDRATYEVA,8-Apr-82,RUS,3sf,Tula (RUS),12-Jun-06,1116
95,11.39,1,Fabienne BERET-MARTINEL,22-Dec-77,FRA,2h3,Nancy (FRA),20-Jul-06,1116
99,11.4,,Rose-Marie WHYTE-ROBINSON,8-Sep-86,JAM,1,Kirkvine (JAM),22-Feb-06,1114
99,11.4,0.8,Emily FREEMAN,24-Nov-80,GBR,1,Loughborough (GBR),21-May-06,1114
1,10.84,1.9,Chandra STURRUP,12-Sep-71,BAH,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",5-Jul-05,1235
2,10.85,0.4,Veronica CAMPBELL-BROWN,15-May-82,JAM,1,Zürich (SUI),19-Aug-05,1233
3,10.88,0.4,Lauryn WILLIAMS,11-Sep-83,USA,2,Zürich (SUI),19-Aug-05,1226
4,10.93,-0.2,Christine ARRON,13-Sep-73,FRA,2,"Stade Louis II, Monaco (MON)",9-Sep-05,1216
5,10.97,0.4,Sherone SIMPSON,12-Aug-84,JAM,2,Kingston (JAM),25-Jun-05,1206
6,11.03,1.1,Ivet LALOVA-COLLIO,18-May-84,BUL,1,Ostrava (CZE),9-Jun-05,1193
6,11.03,1.5,Maria KARASTAMATI,10-Dec-84,GRE,1,Erfurt (GER),16-Jul-05,1193
8,11.04,1.4,Me'Lisa BARBER,4-Oct-80,USA,1h3,"Carson, CA (USA)",24-Jun-05,1191
9,11.05,0.7,Allyson FELIX,18-Nov-85,USA,1,Yokohama (JPN),19-Sep-05,1189
10,11.06,0.1,LaTasha COLANDER,23-Aug-76,USA,1,Santo Domingo (DOM),14-May-05,1187
11,11.07,1.6,Geraldine PILLAY,25-Aug-77,RSA,1,Durban (RSA),16-Apr-05,1185
11,11.07,0.8,Aleen BAILEY,25-Nov-80,JAM,2,Kingston (JAM),7-May-05,1185
13,11.08,0.4,Yuliya NESTERENKO,15-Jun-79,BLR,5,Zürich (SUI),19-Aug-05,1182
14,11.09,1.3,Muna LEE,30-Oct-81,USA,7,"Olympic Stadium, Helsinki (FIN)",8-Aug-05,1180
15,11.12,0.2,Marshevet HOOKER,25-Sep-84,USA,1,"Manhattan, KS (USA)",15-May-05,1174
15,11.12,1.4,Kim GEVAERT,5-Aug-78,BEL,1f2,Heusden-Zolder (BEL),23-Jul-05,1174
17,11.13,1.8,Sylvie MBALLA ELOUNDOU,21-Apr-77,CMR,1,Angers (FRA),15-Jul-05,1172
18,11.17,0.6,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1,Port-of-Spain (TTO),25-Jun-05,1163
18,11.17,-0.3,Rachelle BOONE-SMITH,30-Jun-81,USA,4f1,"Stadio Olimpico, Roma (ITA)",8-Jul-05,1164
18,11.17,-0.4,Rose ABOAJA,1977,NGR,2,Getafe (ESP),14-Jul-05,1165
21,11.18,1.6,Felipa Alicia PALACIOS,1-Dec-75,COL,1,Armenia (COL),19-Aug-05,1161
22,11.2,0.8,Mariya BOLIKOVA,23-May-77,RUS,1sf2,Tula (RUS),10-Jul-05,1157
22,11.2,1.8,Sylviane FELIX,31-Oct-77,FRA,2,Angers (FRA),15-Jul-05,1157
24,11.21,0.9,Beverly MCDONALD,15-Feb-70,JAM,1,"El Paso, TX (USA)",16-Apr-05,1154
24,11.21,1.3,Olga FYODOROVA,14-Jul-83,RUS,2,"Stadio Ridolfi, Firenze (ITA)",18-Jun-05,1154
26,11.22,1.6,Melisa MURILLO,13-Jan-82,COL,2,Armenia (COL),19-Aug-05,1152
27,11.23,0.2,Tayna LAWRENCE,17-Sep-75,JAM,3,"New York, NY (USA)",11-Jun-05,1150
27,11.23,2,Angela DAIGLE-BOWEN,28-May-76,USA,1,"Azusa, CA (USA)",16-Jul-05,1150
29,11.24,1.3,Sheri-Ann BROOKS,11-Feb-83,JAM,1,"Coral Gables, FL (USA)",16-Apr-05,1148
29,11.24,0.9,Lucimar Aparecida DE MOURA,22-Mar-74,BRA,1sf1,São Paulo (BRA),19-Jun-05,1148
29,11.24,0.6,Cydonie MOTHERSILL,19-Mar-78,CAY,2,Port-of-Spain (TTO),25-Jun-05,1148
29,11.24,0.2,Stephanie DURST,6-Jan-82,USA,1,Rethymno (GRE),10-Jul-05,1148
33,11.25,0.6,Cleo TYSON,1-May-86,USA,1,"Nashville, TN (USA)",15-May-05,1146
34,11.26,0.1,Monique HENNAGAN,26-May-76,USA,3,Santo Domingo (DOM),14-May-05,1144
35,11.28,-0.1,Virginia CRAWFORD,7-Sep-83,USA,1,"Westwood, CA (USA)",15-May-05,1139
35,11.28,-0.1,Oksana DRAHUN,19-Apr-81,BLR,1,Minsk (BLR),21-Jul-05,1139
37,11.29,0.4,Amandi RHETT,29-Jun-82,USA,2,"Walnut, CA (USA)",17-Apr-05,1137
37,11.29,0.6,Shalonda SOLOMON,19-Dec-85,USA,2,"Nashville, TN (USA)",15-May-05,1137
37,11.29,-0.3,Angela WILLIAMS,30-Jan-80,USA,5,"Carson, CA (USA)",22-May-05,1138
37,11.29,0.6,Fana ASHBY,15-Jun-81,TTO,3,Port-of-Spain (TTO),25-Jun-05,1137
37,11.29,,Endurance OJOKOLO,29-Sep-75,NGR,1,Abuja (NGR),9-Jul-05,1137
37,11.29,1.1,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,2,Nassau (BAH),9-Jul-05,1137
37,11.29,2,Tremedia BRICE,22-Jul-81,USA,2,"Azusa, CA (USA)",16-Jul-05,1137
44,11.3,1.8,Natalya SOLOGUB,31-Mar-75,BLR,1,Brest (BLR),2-Jul-05,1135
45,11.31,0.6,Irina SHTANHYEYEVA,8-Feb-82,UKR,1,Donetsk (UKR),7-May-05,1133
45,11.31,1,Irina KHABAROVA,18-Mar-66,RUS,1,Moskva (RUS),4-Sep-05,1133
